,Accuracy,Recall,Precision,f1_score
500.0,0.6113744075829384,0.5260663507109005,0.6342857142857142,0.5751295336787564
10693.877551020409,0.6800947867298578,0.6066350710900474,0.7111111111111111,0.6547314578005116
20887.755102040817,0.5781990521327014,0.2037914691943128,0.8113207547169812,0.32575757575757575
31081.632653061228,0.566350710900474,0.17061611374407584,0.8181818181818182,0.28235294117647064
41275.510204081635,0.6255924170616114,0.27488151658767773,0.9206349206349206,0.4233576642335767
51469.38775510204,0.7440758293838863,0.5545023696682464,0.8931297709923665,0.6842105263157894
61663.265306122456,0.8104265402843602,0.7677725118483413,0.8393782383419689,0.801980198019802
71857.14285714286,0.7843601895734598,0.7725118483412322,0.7912621359223301,0.7817745803357313
82051.02040816327,0.7701421800947867,0.7677725118483413,0.7714285714285715,0.7695961995249406
92244.89795918368,0.7725118483412322,0.7251184834123223,0.8010471204188482,0.7611940298507462
102438.77551020408,0.7677725118483413,0.7014218009478673,0.8087431693989071,0.751269035532995
112632.6530612245,0.7582938388625592,0.6255924170616114,0.8516129032258064,0.7213114754098361
122826.53061224491,0.7843601895734598,0.7440758293838863,0.8092783505154639,0.7753086419753086
133020.40816326533,0.7938388625592417,0.7345971563981043,0.8333333333333334,0.7808564231738035
143214.2857142857,0.8246445497630331,0.7677725118483413,0.8663101604278075,0.8140703517587939
153408.16326530612,0.8317535545023697,0.7819905213270142,0.868421052631579,0.8229426433915212
163602.04081632654,0.8483412322274881,0.8104265402843602,0.8769230769230769,0.8423645320197044
173795.91836734695,0.8412322274881516,0.8104265402843602,0.8636363636363636,0.8361858190709047
183989.79591836737,0.8412322274881516,0.8246445497630331,0.8529411764705882,0.8385542168674698
194183.67346938775,0.8578199052132701,0.8483412322274881,0.8647342995169082,0.8564593301435407
204377.55102040817,0.8601895734597157,0.8720379146919431,0.8518518518518519,0.8618266978922717
214571.42857142858,0.8601895734597157,0.8815165876777251,0.8454545454545455,0.8631090487238979
224765.306122449,0.8815165876777251,0.9052132701421801,0.8642533936651584,0.8842592592592594
234959.1836734694,0.8886255924170616,0.909952606635071,0.8727272727272727,0.8909512761020881
245153.06122448982,0.9075829383886256,0.919431279620853,0.8981481481481481,0.9086651053864168
255346.9387755102,0.9052132701421801,0.9146919431279621,0.8976744186046511,0.9061032863849766
265540.81632653065,0.8909952606635071,0.9241706161137441,0.8666666666666667,0.8944954128440367
275734.693877551,0.9123222748815166,0.9241706161137441,0.9027777777777778,0.9133489461358313
285928.5714285714,0.919431279620853,0.9241706161137441,0.9154929577464789,0.9198113207547169
296122.44897959183,0.9265402843601895,0.9289099526066351,0.9245283018867925,0.9267139479905437
306316.32653061225,0.909952606635071,0.9004739336492891,0.9178743961352657,0.9090909090909091
316510.20408163266,0.9123222748815166,0.8909952606635071,0.9306930693069307,0.9104116222760291
326704.0816326531,0.8981042654028436,0.8672985781990521,0.9242424242424242,0.8948655256723715
336897.9591836735,0.8909952606635071,0.8530805687203792,0.9230769230769231,0.8866995073891626
347091.8367346939,0.8909952606635071,0.8672985781990521,0.9104477611940298,0.8883495145631067
357285.7142857143,0.8838862559241706,0.8815165876777251,0.8857142857142857,0.8836104513064132
367479.59183673473,0.8625592417061612,0.8720379146919431,0.8558139534883721,0.8638497652582159
377673.46938775515,0.8744075829383886,0.9004739336492891,0.8558558558558559,0.8775981524249423
387867.3469387755,0.8744075829383886,0.9241706161137441,0.8405172413793104,0.8803611738148984
398061.2244897959,0.8672985781990521,0.9289099526066351,0.8270042194092827,0.8750000000000001
408255.10204081633,0.8672985781990521,0.9383886255924171,0.8215767634854771,0.8761061946902655
418448.97959183675,0.8672985781990521,0.9478672985781991,0.8163265306122449,0.8771929824561404
428642.85714285716,0.8696682464454977,0.957345971563981,0.8145161290322581,0.8801742919389979
438836.7346938776,0.8625592417061612,0.957345971563981,0.8047808764940239,0.8744588744588744
449030.612244898,0.8625592417061612,0.9620853080568721,0.8023715415019763,0.8750000000000001
459224.4897959184,0.8625592417061612,0.966824644549763,0.8,0.8755364806866952
469418.3673469388,0.8578199052132701,0.966824644549763,0.7937743190661478,0.8717948717948717
479612.24489795923,0.8554502369668247,0.966824644549763,0.7906976744186046,0.8699360341151385
489806.12244897964,0.8507109004739336,0.9620853080568721,0.7868217054263565,0.8656716417910447
500000.0,0.8530805687203792,0.966824644549763,0.7876447876447876,0.8680851063829786
